# bD大调 4/4拍 每分钟83拍 第十小节开始每分钟96拍 
# 顺序分别为音名，位置，升降，时值
# 时值单位为拍
# “#”表示升，“b”表示降，“-”表示不升不降
# 第一位为0表示休止

#1
B,5,b,0.5
A,5,b,0.5
F,5,-,0.5
E,5,b,0.5
F,5,-,1
E,5,b,1

#2
F,5,-,2
A,5,b,0.5
F,5,-,0.5
D,5,b,1

#3
B,5,b,0.5
A,5,b,0.5
B,5,b,0.5
C,6,-,0.5
D,6,b,1
C,6,-,1

#4
B,5,b,1
D,5,b,0.5
C,5,-,0.5
B,4,b,2

#5
B,5,b,0.5
A,5,b,0.5
F,5,-,0.5
E,5,b,0.5
F,5,-,1
E,5,b,1

#6
F,5,-,2
A,5,b,0.5
F,5,-,0.5
D,5,b,1

#7
B,5,b,0.5
A,5,b,0.5
B,5,b,0.5
C,6,-,0.5
D,6,b,1
C,6,-,1

#8
B,5,b,4

#9
B,5,b,4

#10
F,5,-,0.25
E,5,b,0.25
F,5,-,0.25
B,5,b,0.5
F,5,-,0.25
E,5,b,0.5
F,5,-,1
E,5,b,1

#11
F,5,-,0.25
E,5,b,0.25
F,5,-,0.25
B,5,b,0.5
F,5,-,0.25
E,5,b,0.5
F,5,-,2

#12
F,5,-,0.25
E,5,b,0.25
F,5,-,0.25
B,5,b,0.5
F,5,-,0.25
E,5,b,0.5
F,5,-,0.25
E,5,b,0.25
F,5,-,0.25
A,5,b,0.5
F,5,-,0.25
E,5,b,0.5

#13
F,5,-,0.5
E,5,b,0.5
F,5,-,0.5
A,5,b,0.5
B,5,b,2

#14
F,5,-,0.25
E,5,b,0.25
F,5,-,0.25
B,5,b,0.5
F,5,-,0.25
E,5,b,0.5
F,5,-,1
E,5,b,1

#15
F,5,-,0.25
E,5,b,0.25
F,5,-,0.25
B,5,b,0.5
F,5,-,0.25
E,5,b,0.5
F,5,-,2

#16
F,5,-,0.25
E,5,b,0.25
F,5,-,0.25
B,5,b,0.5
F,5,-,0.25
E,5,b,0.5
C,6,-,0.25
B,5,b,0.25
C,6,-,0.25
E,6,b,0.5
D,6,b,0.25
C,6,-,0.5

#17
C,6,-,1
C,6,-,0.5
D,6,b,2.5

