equal,pyth,pure,length
261.6255653005986,260.74074074074076,264.0,1.0
293.6647679174076,293.33333333333337,297.0,1.0
329.6275569128699,330.0,330.0,1.0
349.2282314330039,347.65432098765433,352.0,1.0
391.99543598174927,391.11111111111114,396.0,1.0
440.0,440.00000000000006,440.0,1.0
493.8833012561241,495.00000000000006,495.0,1.0
523.2511306011972,521.4814814814815,528.0,1.0
587.3295358348151,586.6666666666667,594.0,1.0
659.2551138257398,660.0,660.0,1.0
698.4564628660078,695.3086419753087,704.0,1.0
783.9908719634985,782.2222222222223,792.0,1.0
880.0,880.0000000000001,880.0,1.0
987.7666025122483,990.0000000000001,990.0,1.0
1046.5022612023945,1042.962962962963,1056.0,1.0
